State,Confirmed,Recovered,Deceased,Other,Tested,latitude,longitude,population,AQIUS,PM25,PM10,Temp,Humid
Andhra Pradesh,27965778.7,26759672.4,204565.05,0.0,361860625.1,14.7504291,78.57002559,10000000.0,67.0,20.0,47.0,31.0,66.0
Arunachal Pradesh,610059.3157894737,575026.0,2576.4210526315787,0.0,13414479.47368421,27.100398780000003,93.61660071,1383727.0,93.0,32.0,49.0,22.0,82.0
Assam,7440570.25,7035262.05,55627.7,20511.0,236240125.75,26.749980900000004,94.21666744,10000000.0,96.0,33.0,56.0,24.0,79.0
Bihar,9664071.65,9266719.9,95313.45,23.45,552946083.85,25.78541445,87.4799727,10000000.0,204.0,111.0,229.0,27.0,47.0
Chandigarh,808565.6,767992.55,10731.45,5.55,8025949.95,30.71999697,76.78000565,1055450.0,122.0,47.0,79.0,27.0,22.0
Chhattisgarh,12309473.35,11643471.55,158801.0,0.0,145860072.45,22.09042035,82.15998734,10000000.0,117.0,43.0,84.0,30.0,20.0
NCT of Delhi,20259742.8,19464523.55,350010.5,0.0,326193056.4,28.6699929,77.23000403,10000000.0,257.0,187.0,392.0,28.0,30.0
Goa,2131563.65,2004303.1,35797.65,0.0,15236386.5,15.491997,73.81800065,1458545.0,79.0,26.0,69.0,25.0,80.0
Haryana,9877439.1,9447222.55,115398.7,0.0,152701820.8,28.45000633,77.01999101,10000000.0,180.0,101.0,230.0,28.0,29.0
Himachal Pradesh,2401944.85,2252450.4,39452.75,699.9,35157168.5,31.10002545,77.16659704,6864602.0,69.0,20.0,36.0,19.0,31.0
Jammu and Kashmir,4250357.1,3986391.8,60091.3,0.0,156883830.0,34.29995933,74.46665849,10000000.0,30.0,8.0,13.0,12.0,70.0
Jharkhand,4533479.95,4307817.45,58483.5,0.0,161367935.65,23.80039349,86.41998572,10000000.0,126.0,45.0,129.0,29.0,36.0
Karnataka,36597368.0,34172600.95,458618.7,496.3,527744351.55,12.57038129,76.91999711,10000000.0,93.0,37.0,68.0,25.0,74.0
Kerala,37355087.13636363,34923267.09090909,174478.22727272726,6212.0,320524898.0,8.900372741,76.56999263,10000000.0,87.0,29.0,55.0,29.0,80.0
Madhya Pradesh,10069813.45,9580580.1,132541.05,0.0,188214449.85,21.30039105,76.13001949,10000000.0,97.0,33.0,80.0,28.0,32.0
Maharashtra,83105023.45,77205531.7,1760153.5,43001.5,602124321.55,19.25023195,73.16017493,10000000.0,100.0,36.0,83.0,28.0,64.0
Manipur,1113143.8,1025132.15,16146.25,0.0,15216386.2,24.79997072,93.95001705,2855794.0,59.0,16.0,19.0,20.0,76.0
Meghalaya,727550.4210526316,670609.4210526316,11247.842105263158,0.9473684210526316,11815999.421052633,25.57049217,91.8800142,3211000.0,130.0,50.0,80.0,20.0,83.0
Mizoram,485667.2,412240.75,1654.65,0.0,8672452.35,23.71039899,92.72001461,1097206.0,27.0,6.0,22.0,23.0,73.0
Nagaland,398013.1052631579,356095.4736842105,5858.684210526316,9229.157894736842,4260492.842105263,25.6669979,94.11657019,1978502.0,54.0,16.0,24.0,19.0,53.0
Odisha,12186506.5,11670503.7,73443.05,0.0,227708326.05,19.82042971,85.90001746,10000000.0,119.0,44.0,89.0,29.0,66.0
Puducherry,1517217.7,1427346.1,23110.15,0.0,19119368.35,11.93499371,79.83000037,1394467.0,47.0,11.0,34.0,30.0,78.0
Rajasthan,12031010.8,11393581.35,110372.75,0.0,183918735.2,26.44999921,74.63998124,10000000.0,108.0,39.0,120.0,29.0,31.0
Sikkim,316898.44444444444,283120.5555555556,4683.888888888889,3855.055555555556,2960396.333333333,27.3333303,88.6166475,657876.0,62.0,18.0,46.0,17.0,56.0
Tamil Nadu,32447016.3,30842496.7,440737.05,0.0,521734424.0,12.920385759999998,79.15004187,10000000.0,55.0,15.0,49.0,29.0,78.0
Tripura,1095721.5263157894,1032356.8421052631,11282.21052631579,957.6315789473684,21731877.842105266,23.83540428,91.27999914,3673917.0,127.0,46.0,74.0,26.0,88.0
Uttar Pradesh,22641257.35,21488944.95,300920.15,0.0,882597809.65,27.59998069,78.05000565,10000000.0,153.0,79.0,170.0,28.0,30.0
Uttarakhand,4064543.95,3727571.85,79596.25,66891.95,78535660.6,30.32040895,78.05000565,10000000.0,102.0,35.0,71.0,25.0,22.0
West Bengal,19563421.95,18673150.55,268956.05,0.0,225376300.0,22.58039044,88.32994665,10000000.0,86.0,28.0,64.0,29.0,73.0
