State.Name,latitude,longitude,population
Andaman and Nicobar Islands,11.66702557,92.73598262,"3,56,152"
Andhra Pradesh,14.7504291,78.57002559,"4,96,34,314"
Arunachal Pradesh,27.10039878,93.61660071,"13,83,727"
Assam,26.7499809,94.21666744,"3,12,05,576"
Bihar,25.78541445,87.4799727,"10,40,99,452"
Chandigarh,30.71999697,76.78000565,"10,55,450"
Chhattisgarh,22.09042035,82.15998734,"2,94,36,231"
Dadra and Nagar Haveli,20.26657819,73.0166178,"3,43,709"
Delhi,28.6699929,77.23000403,"2,64,95,000"
Goa,15.491997,73.81800065,"14,58,545"
Haryana,28.45000633,77.01999101,"2,77,61,063"
Himachal Pradesh,31.10002545,77.16659704,"68,64,602"
JAMMU AND KASHMIR    ,34.29995933,74.46665849,"1,25,41,302"
Jharkhand,23.80039349,86.41998572,"3,29,88,134"
Karnataka,12.57038129,76.91999711,"6,11,30,704"
Kerala,8.900372741,76.56999263,"3,45,23,726"
Lakshadweep,10.56257331,72.63686717,"60,595"
Madhya Pradesh,21.30039105,76.13001949,"7,26,26,809"
Maharashtra,19.25023195,73.16017493,"11,23,74,333"
Manipur,24.79997072,93.95001705,"28,55,794"
Meghalaya,25.57049217,91.8800142,"32,11,000"
Mizoram,23.71039899,92.72001461,"10,97,206"
Nagaland,25.6669979,94.11657019,"19,78,502"
Odisha,19.82042971,85.90001746,"4,19,74,218"
Puducherry,11.93499371,79.83000037,"13,94,467"
"Punjab, India",31.51997398,75.98000281,"2,77,43,338"
Rajasthan,26.44999921,74.63998124,"6,85,48,437"
Sikkim,27.3333303,88.6166475,"6,57,876"
Tamil Nadu,12.92038576,79.15004187,"7,21,47,030"
Tripura,23.83540428,91.27999914,"36,73,917"
Uttar Pradesh,27.59998069,78.05000565,"19,95,81,477"
Uttarakhand,30.32040895,78.05000565,"1,00,86,292"
West Bengal,22.58039044,88.32994665,"9,12,76,115"
