State,Month,Tested,Confirmed,Deceased,latitude,longitude,population,Status,AQIUS,PM25,PM10,Temp,Humid
ANDHRA PRADESH,2021-08,796336350,61793002,422859,14.7504291,78.57002559,10000000,MODERATE,67,20,47,31,66
ANDHRA PRADESH,2020-11,274513954,25558844,205986,14.7504291,78.57002559,10000000,MODERATE,67,20,47,31,66
ANDHRA PRADESH,2020-10,214730441,23891277,196555,14.7504291,78.57002559,10000000,MODERATE,67,20,47,31,66
ANDHRA PRADESH,2021-02,379357080,24888850,200564,14.7504291,78.57002559,10000000,MODERATE,67,20,47,31,66
ANDHRA PRADESH,2020-03,0,180,0,14.7504291,78.57002559,10000000,MODERATE,67,20,47,31,66
ANDHRA PRADESH,2020-12,340730258,27168365,218920,14.7504291,78.57002559,10000000,MODERATE,67,20,47,31,66
ANDHRA PRADESH,2020-09,143345158,17435463,150803,14.7504291,78.57002559,10000000,MODERATE,67,20,47,31,66
ANDHRA PRADESH,2021-09,825251498,61014709,420842,14.7504291,78.57002559,10000000,MODERATE,67,20,47,31,66
ANDHRA PRADESH,2021-01,388542590,27454434,221231,14.7504291,78.57002559,10000000,MODERATE,67,20,47,31,66
ANDHRA PRADESH,2020-04,831615,18634,440,14.7504291,78.57002559,10000000,MODERATE,67,20,47,31,66
ANDHRA PRADESH,2021-07,724580446,59921921,405709,14.7504291,78.57002559,10000000,MODERATE,67,20,47,31,66
ANDHRA PRADESH,2020-08,88689222,8993859,82340,14.7504291,78.57002559,10000000,MODERATE,67,20,47,31,66
ANDHRA PRADESH,2020-06,17941804,225800,3037,14.7504291,78.57002559,10000000,MODERATE,67,20,47,31,66
ANDHRA PRADESH,2020-05,7167130,73676,1491,14.7504291,78.57002559,10000000,MODERATE,67,20,47,31,66
ANDHRA PRADESH,2021-04,469007547,28989600,223475,14.7504291,78.57002559,10000000,MODERATE,67,20,47,31,66
ANDHRA PRADESH,2021-10,897453995,63848566,443048,14.7504291,78.57002559,10000000,MODERATE,67,20,47,31,66
ANDHRA PRADESH,2020-07,40729796,1646484,18688,14.7504291,78.57002559,10000000,MODERATE,67,20,47,31,66
ANDHRA PRADESH,2021-03,451319401,27696218,222792,14.7504291,78.57002559,10000000,MODERATE,67,20,47,31,66
ANDHRA PRADESH,2021-06,620271299,54460512,360363,14.7504291,78.57002559,10000000,MODERATE,67,20,47,31,66
ANDHRA PRADESH,2021-05,556412918,44235180,292158,14.7504291,78.57002559,10000000,MODERATE,67,20,47,31,66
ARUNACHAL PRADESH,2020-08,3901812,85434,138,27.10039878,93.61660071,1383727,MODERATE,93,32,49,22,82
